JournalTitle,Year,count
"Journal of immunology (Baltimore, Md. : 1950)",1977,23
Research communications in chemical pathology and pharmacology,1977,23
Psychopharmacology,1977,23
Biotechnology and bioengineering,1977,23
The P. A. journal,1976,23
Federation proceedings,1978,23
IMJ. Illinois medical journal,1975,22
Gastroenterology,1976,22
Farmatsevtychnyi zhurnal,Unknown,22
Canadian journal of physiology and pharmacology,1976,22
Deutsche medizinische Wochenschrift (1946),1977,22
American journal of obstetrics and gynecology,1977,22
British journal of clinical pharmacology,1977,22
The Journal of clinical investigation,1978,22
The Journal of pediatrics,1978,22
The Journal of clinical psychiatry,1978,22
Respiration physiology,1978,22
Journal of applied physiology,1976,21
Molecular pharmacology,1976,21
Drugs,1976,21
Postgraduate medical journal,1976,21
"Pharmacology, biochemistry, and behavior",1976,21
Annales de l'anesthesiologie francaise,Unknown,21
The Journal of experimental biology,1976,21
Biochimie,1976,21
British journal of clinical pharmacology,1976,21
Federation proceedings,1977,21
The Journal of clinical investigation,1977,21
Psychopharmacology bulletin,1977,21
Virology,1977,21
Circulation research,1977,21
La Nouvelle presse medicale,1977,21
Advances in biochemical psychopharmacology,1976,21
Fortschritte der Medizin,1978,21
Nucleic acids research,1978,21
The International journal of biochemistry,1978,21
Virology,1976,20
Cellular immunology,1976,20
Fortschritte der Medizin,1976,20
La Nouvelle presse medicale,1976,20
Japanese journal of pharmacology,1976,20
Antibiotiki,1976,20
Respiration physiology,1976,20
Transplantation,1977,20
Bollettino della Societa italiana di biologia sperimentale,1977,20
Journal of medicinal chemistry,1978,20
British journal of clinical pharmacology,1978,20
Pflugers Archiv : European journal of physiology,1978,20
Clinical pharmacology and therapeutics,1976,19
Transplantation,1976,19
Schweizerische medizinische Wochenschrift,1976,19
Nucleic acids research,1976,19
Australian and New Zealand journal of medicine,1976,19
Journal of general microbiology,1977,19
Molecular pharmacology,1977,19
"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",1977,19
Canadian journal of physiology and pharmacology,1977,19
Respiration physiology,1977,19
Biulleten' eksperimental'noi biologii i meditsiny,1977,19
Transplantation proceedings,1977,19
Advances in experimental medicine and biology,1978,19
Verhandlungen der Deutschen Gesellschaft fur Innere Medizin,Unknown,19
JAMA,1976,18
Journal of clinical pharmacology,Unknown,18
Die Pharmazie,1975,18
Analytical biochemistry,1975,18
Deutsche medizinische Wochenschrift (1946),1976,18
Journal of medicinal chemistry,1976,18
The Italian journal of biochemistry,Unknown,18
Archives of microbiology,1976,18
Journal of molecular biology,1976,18
Zeitschrift fur Psychologie mit Zeitschrift fur angewandte Psychologie,1976,18
Clinical and experimental pharmacology & physiology,Unknown,18
Endocrinology,1977,18
The Journal of urology,1977,18
The American journal of psychiatry,1977,18
Enzyme,1977,18
Clinical science and molecular medicine,1977,18
Journal of medical entomology,1977,18
British journal of anaesthesia,1978,18
Molecular pharmacology,1978,18
"Journal of immunology (Baltimore, Md. : 1950)",1978,18
Psychopharmacology,1978,18
Klinische Anasthesiologie und Intensivtherapie,1978,18
Journal of bacteriology,1975,17
Biopolymers,1976,17
Archives of biochemistry and biophysics,1975,17
Cancer research,1976,17
South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,1976,17
Clinical pharmacology and therapeutics,1977,17
The Journal of nutrition,1977,17
South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,1977,17
Journal of cellular physiology,1977,17
Archives internationales de pharmacodynamie et de therapie,1977,17
Clinical pharmacology and therapeutics,1978,17
The Journal of urology,1978,17
"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",1978,17
"Journal of applied physiology: respiratory, environmental and exercise physiology",1978,17
The Journal of physiology,1978,17
Cardiology,1978,17
Proceedings of the National Academy of Sciences of the United States of America,1975,16
Stroke,Unknown,16
Clinical science and molecular medicine,1976,16
The Journal of clinical investigation,1976,16
Nederlands tijdschrift voor geneeskunde,1976,16
Research communications in chemical pathology and pharmacology,1976,16
Behaviour research and therapy,1976,16
British journal of anaesthesia,1977,16
Scandinavian journal of gastroenterology,1977,16
The American journal of digestive diseases,1977,16
Nederlands tijdschrift voor geneeskunde,1978,16
Acta tropica,1978,16
Biochemical Society transactions,1978,16
British journal of pharmacology,1975,15
The Journal of biological chemistry,1975,15
Circulation research,1976,15
"Magyar traumatologia, orthopaedia es helyreallito sebeszet",1975,15
Acta virologica,1975,15
Acta physiologica Scandinavica,1976,15
Uspekhi sovremennoi biologii,Unknown,15
The Journal of membrane biology,1976,15
"Anesthesie, analgesie, reanimation",Unknown,15
The Medical journal of Australia,1976,15
Zeitschrift fur allgemeine Mikrobiologie,1976,15
Acta biologica et medica Germanica,1976,15
Neuropharmacology,1977,15
International journal of peptide and protein research,1977,15
The Journal of membrane biology,1977,15
Die Pharmazie,1977,15
Minerva pediatrica,1977,15
Terapevticheskii arkhiv,1977,15
The Journal of international medical research,1976,15
Zdravookhranenie Kirgizii,1977,15
"Science (New York, N.Y.)",1978,15
American journal of obstetrics and gynecology,1978,15
Antimicrobial agents and chemotherapy,1978,15
Neuropharmacology,1978,15
Zdravookhranenie Kirgizii,1978,15
South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,1978,15
NIDA research monograph,1978,15
International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,1975,14
Hoppe-Seyler's Zeitschrift fur physiologische Chemie,1975,14
Heart & lung : the journal of critical care,Unknown,14
Journal of pharmaceutical sciences,1975,14
La Nouvelle presse medicale,1975,14
Acta biologica et medica Germanica,1975,14
Anesthesiology,1976,14
Annals of the New York Academy of Sciences,1975,14
The Journal of laboratory and clinical medicine,1976,14
Journal of cellular physiology,1976,14
The Journal of general physiology,1976,14
The American journal of psychiatry,1976,14
Mikrobiolohichnyi zhurnal,Unknown,14
British journal of anaesthesia,1976,14
The British journal of psychiatry : the journal of mental science,1976,14
Antimicrobial agents and chemotherapy,1976,14
The American journal of digestive diseases,1976,14
Acta neurologica,Unknown,14
Die Nahrung,1976,14
Annals of the New York Academy of Sciences,1976,14
The American journal of medicine,1976,14
Minerva pediatrica,1976,14
IARC scientific publications,1976,14
The Journal of pediatrics,1977,14
The Journal of laboratory and clinical medicine,1977,14
Journal of the American Chemical Society,1977,14
Anesthesiology,1977,14
Experimental cell research,1977,14
Nucleic acids research,1977,14
The Journal of the Association of Physicians of India,1976,14
Biochimie,1977,14
Postgraduate medical journal,1977,14
Nihon yakurigaku zasshi. Folia pharmacologica Japonica,1977,14
Anesteziologiia i reanimatologiia,Unknown,14
JAMA,1978,14
Experimental cell research,1978,14
Journal of chromatography,1978,14
Archives of microbiology,1978,14
"Magyar traumatologia, orthopaedia es helyreallito sebeszet",1978,14
Proceedings of the Western Pharmacology Society,1978,14
Biulleten' eksperimental'noi biologii i meditsiny,1975,13
Journal of studies on alcohol,1975,13
Psychopharmacology bulletin,1975,13
Transfusion,Unknown,13
Journal de pharmacie de Belgique,Unknown,13
Die Medizinische Welt,1976,13
Acta physiologica Polonica,Unknown,13
American journal of obstetrics and gynecology,1976,13
Endocrinology,1976,13
Journal of dairy science,1976,13
Acta medica Scandinavica,1976,13
"Polski tygodnik lekarski (Warsaw, Poland : 1960)",1976,13
Bulletin of environmental contamination and toxicology,1976,13
Nihon rinsho. Japanese journal of clinical medicine,1976,13
Chemical & pharmaceutical bulletin,1976,13
Bollettino della Societa italiana di biologia sperimentale,1976,13
The Journal of infectious diseases,1977,13
Comptes rendus hebdomadaires des seances de l'Academie des sciences. Serie D: Sciences naturelles,1977,13
Molecular and cellular biochemistry,1977,13
The Journal of laboratory and clinical medicine,1978,13
Transplantation,1978,13
Deutsche medizinische Wochenschrift (1946),1978,13
Southern medical journal,1978,13
The Journal of cell biology,1978,13
Canadian journal of physiology and pharmacology,1978,13
Zeitschrift fur allgemeine Mikrobiologie,1978,13
Gut,1978,13
Annals of the New York Academy of Sciences,1978,13
Enzyme,1976,12
Modern healthcare. [Short-term care ed.],1975,12
The American journal of physiology,1975,12
Applied microbiology,1975,12
Biochimie,1975,12
Voprosy pitaniia,Unknown,12
Archiv fur Gynakologie,1975,12
Biophysical chemistry,1976,12
Archives internationales de pharmacodynamie et de therapie,1975,12
Fertility and sterility,1976,12
The Journal of cell biology,1976,12
Journal of virology,1976,12
Problemy endokrinologii,Unknown,12
American journal of hospital pharmacy,1976,12
Comptes rendus hebdomadaires des seances de l'Academie des sciences. Serie D: Sciences naturelles,1976,12
Journal of the science of food and agriculture,1976,12
Neuropharmacology,1976,12
The Journal of urology,1976,12
International journal of peptide and protein research,1976,12
Medizinische Monatsschrift,1976,12
British journal of clinical pharmacology,1975,12
Nihon yakurigaku zasshi. Folia pharmacologica Japonica,1976,12
Schweizerische medizinische Wochenschrift,1977,12
Blood,1977,12
Biopolymers,1977,12
Journal of virology,1977,12
Acta pharmacologica et toxicologica,1977,12
Hoppe-Seyler's Zeitschrift fur physiologische Chemie,1977,12
Toxicology and applied pharmacology,1977,12
Calcified tissue research,1977,12
Nihon rinsho. Japanese journal of clinical medicine,1977,12
Chemical & pharmaceutical bulletin,1977,12
Die Medizinische Welt,1977,12
Acta pharmaceutica Suecica,1977,12
Birth defects original article series,1977,12
Bibliotheca anatomica,1977,12
Experientia,1978,12
Hoppe-Seyler's Zeitschrift fur physiologische Chemie,1978,12
Der Internist,1978,12
Research communications in chemical pathology and pharmacology,1978,12
Naunyn-Schmiedeberg's archives of pharmacology,1978,12
Archivos de farmacologia y toxicologia,1978,12
Canadian journal of microbiology,1975,11
Biochemical medicine,1975,11
Activitas nervosa superior,1975,11
Postgraduate medicine,1976,11
The Annals of thoracic surgery,1976,11
