FirstAuthor,count
Small,39
Ivanova,39
Adam,39
Simmons,39
Okuda,39
Kawai,39
Krieger,39
Abraham,39
Ishida,39
Gallagher,39
Goldsmith,38
Nagy,38
Rich,38
Nakagawa,38
Sklar,38
Burger,38
McCormack,38
Kitagawa,38
Bond,38
Madsen,38
Cross,38
Welch,38
Brenner,38
Pearce,38
Fujimoto,38
Creighton,38
Garcia,38
Friedrich,38
Goodwin,38
Sharp,38
Baldwin,37
Brady,37
Jorgensen,37
Chow,37
Jacobsen,37
Doherty,37
Heller,37
Bock,37
Sawada,37
Choi,37
Silva,37
Igarashi,37
Chiba,37
Kodama,37
Burgess,37
Barton,37
Lawson,37
Stephenson,37
Dutt,37
Kuhn,37
Frey,37
Kinoshita,37
O'Donnell,37
Horton,37
Briggs,36
Hirai,36
Chambers,36
Ohno,36
Ott,36
Buckingham,36
Falk,36
Barr,36
Meyers,36
Ritter,36
Marx,36
Shen,36
Dupont,36
Jain,36
Popa,36
Seifert,36
Kern,36
Slater,36
Graf,36
Weinberg,36
Schröder,36
Levi,36
Schaefer,36
Preston,36
Cheung,35
Yokoyama,35
Brewer,35
Hoff,35
Schindler,35
Lopez,35
Ng,35
Fry,35
Tada,35
Hicks,35
Tang,35
Eriksson,35
Perrin,35
Ionescu,35
Metz,35
Lam,35
Lamb,35
Skinner,35
Abrams,35
Magnusson,35
Herrmann,35
Bryan,35
Melnick,35
Hara,35
Wada,35
Kikuchi,35
Bloch,35
Harlay,34
Carlsson,34
Barry,34
Ozawa,34
Low,34
Montgomery,34
Miki,34
Hirata,34
Fleming,34
Maurer,34
Ritchie,34
Caldwell,34
Baird,34
Hollander,34
Martinez,34
Perkins,34
Russo,34
Mackenzie,34
Thomsen,34
Ohnishi,34
Adachi,34
Rapp,34
Whitaker,34
Nicholls,34
Hirano,34
Garrett,34
Kristensen,34
Rapoport,34
Livingston,34
Norris,34
Sweet,34
Lund,33
Watkins,33
Sarkar,33
Iizuka,33
Albert,33
Dale,33
Ulrich,33
Rossant,33
Savage,33
MacGregor,33
Pollock,33
Hudson,33
Murakami,33
Lindsay,33
Todd,33
Popov,33
Knowles,33
Doyle,33
Yasuda,33
Schiller,33
Rodriguez,33
Kent,33
Hoshino,33
Reeves,33
Paterson,33
McLeod,33
Rabinowitz,33
Stark,33
Vollmer,33
Kass,33
Forman,33
Watt,32
Okabe,32
Smirnova,32
Kono,32
Schechter,32
Nomura,32
Knox,32
Hu,32
Ashton,32
Franke,32
Walters,32
Wheeler,32
Logan,32
Lim,32
Jansen,32
Barlow,32
Fukushima,32
Sauer,32
O'Neill,32
Blake,32
Noble,32
Katayama,32
Okamoto,32
Shore,32
Finch,32
Jørgensen,32
Robert,32
Misra,32
Pratt,32
Finn,32
Knapp,31
Lau,31
Flynn,31
Herbert,31
Langer,31
Ring,31
Altman,31
Esposito,31
Gonzalez,31
Bray,31
Lu,31
Clayton,31
Lord,31
Whitehead,31
Fontaine,31
Jarrett,31
Parry,31
Boyer,31
Bergmann,31
Case,31
Maxwell,31
Kaye,31
Conrad,31
Golomb,31
Rubinstein,31
Sutton,31
Wald,31
Wei,31
Gregory,31
Durand,31
Kemp,31
Curtin,31
Henriksen,31
Noguchi,31
Chamberlain,31
Dixon,31
Winkler,31
Downey,31
Welsh,31
Lerner,30
Leung,30
Cowan,30
Scherer,30
Baron,30
Benjamin,30
McConnell,30
Kaufmann,30
Jonsson,30
Mandel,30
Romano,30
Fedorov,30
Binder,30
Bryant,30
Love,30
Salmon,30
Mizuno,30
Honda,30
Marsden,30
Collett,30
Okazaki,30
Yoshikawa,30
Ludwig,30
Yates,30
Moser,30
Kawamura,30
Cannon,30
Vaughan,30
Weller,30
Miyazaki,30
Levinson,30
Matsui,30
Humphrey,30
Fan,30
Dickson,30
Clements,30
Krueger,30
Gale,30
Levoy,30
Tsang,30
Hanna,30
Jonas,30
Unger,30
Springer,30
Stoll,30
Matsuo,30
Nagata,30
Tyler,29
Miwa,29
Cowper-Smith,29
Kirchner,29
Bevan,29
McLaughlin,29
Meltzer,29
Szabo,29
Drew,29
Honma,29
Mukherjee,29
Copeland,29
Chalmers,29
Lie,29
Pierce,29
Hayward,29
Gunn,29
Isaacs,29
Morrow,29
Nakayama,29
Greenblatt,29
Parsons,29
Turnbull,29
Fishman,29
Maier,29
Sen,29
Morley,29
Meijer,29
Yamanaka,29
Csaba,29
French,29
Laurent,29
Lo,29
Wasserman,29
Peck,29
Casey,29
Richmond,29
Seidel,29
Post,29
Miyamoto,29
North,29
Thornton,28
Sokolova,28
Ernst,28
Asano,28
Grimes,28
Yagi,28
Kirk,28
Iversen,28
Sweeney,28
Deutsch,28
Smirnov,28
Freed,28
Shields,28
Lester,28
Ramos,28
Simons,28
Levenstein,28
Bush,28
Dickinson,28
Stuart,28
Boyle,28
Osborn,28
Mathews,28
Swanson,28
Hancock,28
Heath,28
Willis,28
Ichikawa,28
Kelley,28
Beyer,28
Hirose,28
Sheppard,28
Brand,28
